Name,Review Count,Rating
HubSpot Marketing Hub,14505,4.4
Insider One,1296,4.8
ActiveCampaign,14586,4.5
Braze,1483,4.5
HighLevel,600,4.6
Omnisend,1162,4.6
Dotdigital,1165,4.4
Intuit Mailchimp All-in-One Marketing Platform,5383,4.4
Customer.io,728,4.4
Attentive,3,4.8
Adobe Marketo Engage,3079,4.1
Klaviyo,1179,4.6
Netcore Customer Engagement Platform,555,4.5
Comarch Marketing Automation,13,4.6
Iterable,767,4.4
EngageBay All-in-One Suite,594,4.6
Evam,210,4.8
ContactPigeon,270,4.9
Bloomreach,737,4.6
WebEngage,743,4.5
CleverTap,637,4.6
MoEngage,524,4.5
Appier AIQUA,22,4.6
Constant Contact Advanced Automation,953,4.4
Birdeye,3895,4.7
indigitall,443,4.8
edrone,242,4.8
vcita,80,4.5
eSputnik,64,4.8
Salesforce Marketing Cloud,4441,4.0
Thryv,1991,4.3
Voyado,76,4.5
Brevo Customer Data Platform,88,4.6
Marketing Star,23,4.7
ProFundCom,37,4.9
Nvecta,337,4.8
Pushwoosh,46,4.4
Listrak,302,4.5
Optimove,235,4.6
GetResponse MAX,295,4.2
Cordial,57,4.6
Textline,369,4.7
Encharge,370,4.7
LocaliQ,1057,4.5
Ometria,41,4.7
Convertedin,19,4.9
SAP Engagement Cloud (formerly SAP Emarsys),552,4.3
SuperAGI,441,4.6
Leadfwd,56,4.4
SALESmanago,310,4.4
OneSignal,1138,4.7
HCL Unica,128,4.2
eTrigue,49,4.3
Dashly,67,4.7
Maestra,56,4.8
Actito,175,4.3
VBOUT,258,4.7
Bento,37,4.8
Inflection.io,25,4.9
Revotas,55,4.8
Spotler Mail+,216,4.4
D·engage,104,4.5
Vero Cloud,33,4.4
Vendasta AI Platform,470,4.5
Drip,473,4.4
SalezShark,32,4.4
Odoo Marketing Automation,31,4.5
MobileAction,113,4.4
Pingback: Marketing for builders,10,4.9
Sales Snap,34,4.9
OptiPub,12,4.9
Springbot,19,4.3
Total Expert,150,4.5
Manychat,157,4.5
Oracle Eloqua,620,3.9
ExpertSender,58,4.6
Sendlane,72,4.7
Solitics,29,4.6
Deployteq,81,4.4
Ortto,621,4.4
Sailthru by Marigold,154,4.2
BuyerGenomics,28,4.9
RedEye,86,4.2
Genoo,36,4.3
Blueshift,285,4.4
Copernica,11,4.9
Delivra,81,4.4
Xtremepush,262,4.4
Zeta Marketing Platform,93,4.1
Act-On,1059,4.1
IntelligenceBank,322,4.5
Synerise,12,4.5
Right On Interactive,42,4.5
emfluence Marketing Platform,94,4.3
Gamooga,26,4.5
Dynamics 365 Marketing,159,4.3
Infinito,15,4.4
RD Station Marketing,368,4.7
Dialog Insight,38,4.6
Oracle Responsys,128,4.0
BIK,69,4.5
User.com,50,4.3
Referrizer,92,4.6
Aritic PinPoint,42,4.9
Connectif,22,4.8
eMarketeer,19,4.4
Plumb5,43,4.0
Maropost Marketing Cloud,146,4.4
Freshsales,1221,4.5
Upsales Sales and Marketing Platform,178,4.5
Agillic,23,4.3
CloudOne,11,4.4
ActiveTrail,25,4.4
SuperOffice CRM,141,4.4
Mapp Marketing Cloud,68,3.9
La Growth Machine,56,4.6
Click,307,4.0
Netmera,45,4.3
Tofu,13,4.6
Force24,194,4.4
Segmentino,14,4.6
Gist,218,4.6
RESUL,27,4.4
Wunderkind,88,4.4
Net-Results,114,4.5
ConvergeHub,36,4.8
Adobe Campaign,344,4.1
Leadsquared Marketing Automation,231,4.4
SAS Customer Intelligence 360,133,4.3
Quick Hub,11,4.7
Higher Logic Thrive,429,4.4
Magnews,16,4.7
BenchmarkONE,187,4.5
Wishpond,179,3.6
Act!,508,3.9
Exposebox,10,4.7
Lucep,10,4.6
Mautic,21,4.6
Remarkety,40,4.4
Makesbridge,20,4.4
Ontraport,222,4.5
iPost Enterprise,29,4.4
Brick Street CONNECT,11,4.3
Webmecanik Automation,13,4.7
Lead Liaison,59,4.6
Freshmarketer,17,4.1
Apsis One,14,4.4
Zoho Marketing Automation,100,4.1
SuprSend,97,4.9
Sugar Market,218,4.2
Retention Science,34,4.4
GreenRope,226,4.3
Simon AI,264,4.2
Hunch,50,4.5
Regal.ai,44,4.7
MessageGears Platform,97,4.1
OutboundEngine,157,3.7
Kartra,57,3.9
Zymplify,126,4.2
Acquia Customer Data Platform,86,3.9
Acoustic Campaign,273,3.8
Experiture Marketing Platform,10,4.5
Swift Digital Suite,18,4.4
FMG Suite,20,3.5
SimplyCast 360,15,4.3
Platformly,105,4.5
Leadfox,15,4.5
Signpost,55,3.7
BNS AiO,12,4.6
Kizen,33,4.4
Vuture,18,4.1
Selligent by Marigold,35,4.0
ActiveDEMAND,68,4.4
Social Hub.AI,11,4.3
1CRM,33,4.3
Kulea.ma,23,4.6
WayMore,12,4.5
Shape Software,65,4.5
Marketing Master IO,18,4.6
e-shot,12,4.0
Mapp Empower,43,3.4
MioDatos,26,4.2
Agile CRM,359,4.0
AiTrillion,93,4.8
ConnectWise PSA,515,3.9
Clientify,12,4.1
SeoSamba Marketing Operating System,17,4.5
Insightly Marketing,10,3.5
ConvertLoop,11,4.4
Symplify Communication,34,4.4
EshopsWithIQ,11,4.3
Taguchi,11,4.3
Surefire Local,57,4.6
Ayna,14,4.5
Camp Automation,12,4.5
MindFire,12,4.4
Ryzeo,16,4.6
Hey Oliver,16,4.4
Distribion,14,4.0
IntelliClick,10,3.8
InTouch CRM,16,4.1
Privy,122,4.6
Splio,10,4.3
Intempt,10,4.5
Keap,10,4.1
Rejoiner,31,4.8
Sendpilot AI,10,4.8
Touchpoint MX,12,4.2
Conversion,8,5.0
Corefactors,11,4.5
Levitate,119,4.6
Redpoint Customer Data Platform,20,4.6
Simplero,10,4.2
Telagus,7,4.3
Zoho Marketing Plus,14,4.3
Alpine IQ,11,4.7
Ambassador Software,74,4.5
Ascent360,10,4.5
Fortifi,11,4.6
Mothernode,40,4.5
Ricochet360,17,4.3
Rule,,
VipeCloud,31,4.7
Alterian Real-Time CX Platform,12,3.8
emBlue,11,4.7
Engage,5,4.9
naia (Next-Gen Automated Intelligent Assistant),5,5.0
NeuroTags,10,3.8
SalesNexus,14,4.4
SuperAGI Marketing (formerly Contlo),5,4.3
Akero,4,4.1
AutomateWoo,4,4.5
Boosterberg,5,4.9
Cinch Marketing Automation,4,5.0
Commence CRM,18,4.1
Cronberry,4,4.8
Doppler,4,4.6
Eggflow,4,4.6
Framework360,4,4.5
InfinityFlow.io,4,5.0
JUNE,4,3.8
Kevy,4,4.1
LeadLovers,4,3.6
Lemnisk,10,4.4
Nationwide Leads,4,5.0
Oncord,4,5.0
Pega Customer Decision Hub,4,4.4
SmartMessage,4,3.9
Spectrm,46,4.6
XMPie,12,4.0
Altcraft,3,4.7
BizConnector,3,4.0
BriefYourMarket.com,3,4.8
Chainlink Marketing Platform,11,3.9
DailyStory Marketing Solutions,3,4.8
Datacrush,3,4.7
EzyTise,3,5.0
FLG,4,4.3
FreeCRM,11,4.2
Go4Clients,4,3.6
Hippo,19,3.9
iCubesPro,3,4.2
Inboundio,4,2.5
Kyrios Systems,4,4.1
Lead Guerrilla,3,4.5
LeadMaster,16,4.1
Marketing Creatio,3,4.2
Markifact,3,4.7
MyGuestlist Marketing,3,4.3
NEON-dX,3,4.5
Reach,10,4.1
RetainIQ,3,4.5
Salesmate,111,4.7
Sendr,9,4.9
SpotLight,3,5.0
SPREAD,5,4.7
theMarketer,3,4.3
Truu,3,5.0
Uniserve Reach,3,3.5
Usermost,3,4.5
Webex Campaign,3,4.2
Acquigo,2,2.8
Adaptix,2,5.0
Affistash,2,4.0
Amplispot,2,4.8
Apifon,3,4.8
Automatur,2,4.3
Brandwise,2,4.5
Caperifai,2,5.0
Dashcord,3,3.8
Dittofeed,2,4.8
Dotidot,2,4.3
ELAINE,2,4.8
Frizbit,14,5.0
Honestly,2,3.8
Incomaker,2,5.0
Infunnel,2,4.3
Jacquard,25,4.4
Jellyreach,2,3.5
Kiliba,2,4.0
Liana®Cloud Marketing Automation,2,4.0
Marketing Optimizer,2,5.0
Marsello,31,4.4
MSP-IT Advantage Program,5,3.7
Paminga,2,5.0
Plezi,2,4.8
Pyze Growth Intelligence®,3,5.0
RocketLevel,2,4.0
Salesfire,4,4.8
SERPLUX,2,4.8
Spotler Activate,15,4.5
the quantic factory,2,4.3
Vibetrace,2,5.0
WebToffee - eCommerce Marketing Automation,2,4.8
ZEPIC,2,4.5
Zixflow,2,5.0
7engage,1,5.0
90degree Team Task,3,3.7
Adlarion,1,4.0
Apteco PeopleStage,1,5.0
Axtria CustomerIQ,2,4.0
Batch,41,4.6
Beschannels SCRM,1,2.5
Blendee,1,4.0
CamBuildr,1,5.0
CAS genesisWorld,4,3.5
Centripe,1,4.0
Conversion Blitz,1,4.0
CONVERTIFIED Marketing Automation Platform,1,5.0
Cynthia AI by OmniEngage,1,4.0
DemandFlow,1,5.0
Dialytica,1,5.0
Digital Marketing,1,5.0
DreamCampaigns,1,3.5
DriveMetaData (DMD),1,4.0
Dynosend,1,4.5
Elite360,1,2.5
Enalito,1,4.0
erxes,2,4.3
Evalanche,1,5.0
Factoreal,2,5.0
Friday Force,1,5.0
GoZone Wifi,1,5.0
GPTFunnels.AI,1,5.0
Inbound Marketing,1,5.0
Indition CRA,1,4.5
Infor Omni-Channel Campaign Management,1,4.0
iPresso,1,4.5
itracMarketer,1,5.0
Jobin.cloud,3,4.3
MacroStack,1,4.0
Markate,3,4.8
MarketezeAI,1,4.0
Marketing Automation,1,3.0
MarketingOne,1,4.5
MarketWide,1,5.0
Marqait AI,2,4.5
Martech Stack,1,3.0
next4biz CRM,2,2.5
NextUser,1,5.0
OptCulture,1,5.0
OptiKPI,3,4.7
PingProspect,1,4.5
Pipz,1,5.0
PRO Elite+ Plan,1,5.0
ProFromGo Internet Marketing,1,4.5
Promio,1,4.5
Q:chi ) Harmoni,1,5.0
Qnvert Marketing Cloud,1,5.0
Related Digital Customer Journey Manager,1,4.5
Repro,3,3.3
ResultBull,1,5.0
SalesAutoPilot,1,4.5
SendCloud,1,4.5
Simbel AI,1,5.0
SmartFirm,1,5.0
Structure Pie,1,4.5
Tanganica.com,1,5.0
TorkeHub,2,4.8
Touchdown,1,4.5
Treasure Data Customer Data Platform,164,4.5
Trustisto,1,4.0
Ubiquity Engage,1,4.0
UMarket,1,2.5
Unim,1,2.0
VelocityEngine GTM Campaign Builder,1,4.5
WDC Studio | Marketing Automation,1,4.5
Wired Plus,1,3.5
X2CRM,1,4.0
XME | Exela Marketing Execution,1,3.5
Zence Marketing Automation,1,2.0
Zoy - Marketing on Autopilot,1,5.0
Aadow,,
Acoustic Connect,2,4.0
Checkout Champ,11,4.9
ClientCircle,2,4.0
Datarati,,
Easify App,,
eMailBase,2,4.5
EQUP,2,4.5
FabFunnel: Lead Gen Software & Multi-Channel Ad Automation,,
Gold-Vision,5,4.0
InboundCycle,,
Insertr: Marketing Automation,,
ItsBot,,
Jade Wolf Marketing,,
kling.to,,
kutoma,,
LeadMetrics,,
LeadRapid,,
MailChimp Odoo Integration,,
Mana,,
Marketing Titan,,
Marqeable,,
Meetzy,,
MeridianLink Engage,,
MIA,,
Motimatic,,
Neolemon,,
Netcapz,1,5.0
NEXTLEADCRM,2,5.0
OptifiNow,1,3.0
Paddle CRM,1,2.5
Pepper Cloud,3,4.0
Pocial,,
PoshListings,,
Pragma (formerly Logisy),1,5.0
Rapitek CRM,,
Revenue Automation,1,0.0
SAAS First,2,5.0
SalesExec,19,4.6
SalesNOW,2,4.0
SalesSeek,2,2.3
Shortway,,
Smarketing Cloud,1,4.5
SMART Marketing,1,5.0
Sun Bear All-in-One,1,5.0
SureThinks,,
TALK-to-TASKS,,
Venntive,1,4.5
Vertex Growth,,
ZOE Cadence,1,5.0
